Announced or Revised,Agency,Title,Component,Report Number(s),Expected Issue Date (FY),Website_Link,Summary,Office of Evaluation and Inspections
Completed,Centers for Medicare and Medicaid Services,Ensuring Dual-Eligible Beneficiaries' Access to Drugs Under Part D: Mandatory Review,Office of Evaluation and Inspections,OEI-05-21-00170,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000562.asp,"Dual-eligible beneficiaries are enrolled in Medicaid but qualify for prescription drug coverage under Medicare Part D.  As long as Part D plans meet certain limitations outlined in 42 CFR § 423.120, Part D plan sponsors have discretion to include different Part D drugs and drug utilization tools in their formularies.  We will review the extent to which drug formularies developed by Part D plan sponsors include drugs commonly used by dual-eligible beneficiaries as required.  The Affordable Care Act, § 3313, requires OIG to conduct this review annually.",
Completed,Centers for Medicare and Medicaid Services,2020 Performance Data for the Senior Medicare Patrol Projects,Office of Evaluation and Inspections,OEI-02-21-00180,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000563.asp,"This memorandum report presents performance data for the Senior Medicare Patrol (SMP) projects, which receive grants from ACL to recruit and train retired professionals and other senior citizens to recognize and report instances or patterns of health care fraud. OIG has collected these performance data since 1997.",
Revised,"FDA, NIH, CMS",Audit of HHS's Contracting Compliance for the Acquisition of Information Technology,Office of Audit Services,W-00-21-42033; W-00-21-42034,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000564.asp,"HHS is one of the largest contracting agencies in the Federal Government.  In FY 2020, HHS obligated $3.4 billion to the acquisition of information technology (IT).  HHS has one of the largest dollar investments in major IT systems and the second-largest number of IT investments in the Federal Government.  The Federal Acquisition Regulation guides the acquisition process by which executive agencies of the Federal Government acquire goods and services by contract.  We will perform a series of audits (three OpDivs).  At each OpDiv, we will examine one vendor with contracts awarded for the acquisition of IT exceeding $10 million during FYs 2018 through 2020.  We will determine whether HHS OpDivs are administering certain IT contracts in accordance with Federal statutes, regulations, and HHS policies and procedures.",
Revised,Centers for Medicare and Medicaid Services,Audits of Medicare Part B Laboratory Services During the COVID-19 Pandemic,Office of Audit Services,W-00-21-35867,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000565.asp,"Laboratory tests are critically important because they are used for early detection, diagnosis, monitoring, and treatment of disease.  COVID-19, the disease caused by a new strain of coronavirus that had not been previously identified in humans, first emerged in China in December 2019, and the first reported U.S. case occurred in January 2020.  Because of the rapid worldwide spread of the virus, the World Health Organization declared COVID-19 a global pandemic in March 2020.  To protect the health and safety of the American people and to assist the Department of Health and Human Services and its Federal partners, laboratories began to provide COVID-19 testing to identify individuals who had contracted the coronavirus that causes COVID-19.  Laboratory testing for both COVID-19 tests and non-COVID-19 tests (i.e., laboratory tests that are not for COVID-19) is important for all Medicare beneficiaries, but may be especially important for beneficiaries with certain medical conditions who are identified to be at increased risk for severe illness from COVID-19.  Ensuring individuals receive necessary laboratory tests is critical to improving health care quality and containing long-term health costs., Our preliminary analysis has shown that the number of non-COVID-19 tests billed for Medicare Part B beneficiaries during the COVID-19 pandemic has decreased compared with the 6-month period before the pandemic, and many independent laboratories have encountered challenges in providing COVID-19 testing.  We will conduct a series of audits on Medicare Part B laboratory services during the pandemic that will initially focus on the effect of the pandemic on non-COVID-19 testing.  The series of audits will also focus on aberrant billing of COVID-19 testing during the pandemic.",
Revised,Indian Health Service,Audit of Indian Health Service's COVID-19 Vaccine Policies and Procedures for COVID-19 Vaccines Distributed to Tribal Health Programs,Office of Audit Services,W-00-21-59455,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000566.asp,"The COVID-19 pandemic has disproportionately affected American Indian and Alaska Native (AI/AN) populations nationwide.  The Centers for Disease Control and Prevention (CDC) reported that the age-adjusted AI/AN population's mortality rate from COVID-19 was 1.8 times higher than that among non-Hispanic whites as of December 2020.  The Indian Health Service (IHS) has issued its COVID-19 Pandemic Vaccine Plan detailing how the IHS health care system will distribute, allocate, and administer the COVID-19 vaccine.  The CDC recommended that all jurisdictions be prepared to immediately vaccinate identified critical populations as the earliest COVID-19 vaccine doses became available and were granted emergency use authorization.  IHS is recognized as a ""coordinator,"" similar to a State or other jurisdiction, for vaccine distribution.  Tribal Health Programs and Urban Indian Organizations had the option to receive vaccines through either the IHS or their State.  IHS direct facilities receive the vaccine through IHS.  Approximately 338 facilities elected to receive vaccines through the IHS (including IHS direct facilities, Tribal Health Programs, and Urban Indian Organizations).  We will focus on IHS's coordination of the distribution, allocation, and administration of the vaccine to Tribal Health Programs.  The objective of this audit is to determine whether IHS followed the Memorandum of Agreement for the CDC COVID-19 Federal Agency Vaccination Program and the IHS COVID-19 Pandemic Vaccine Plan to coordinate the distribution, allocation, and administration of the vaccines to Tribal Health Programs to protect AI/AN beneficiaries.  This objective will allow us to review the OIG priority area of promoting public health and safety with respect to services provided to the vulnerable population served by IHS.  It will also allow us to address particularly critical goals that bear directly upon OIG's mission and that are identified in the OIG Strategic Plan: Oversight of COVID-19 Response and Recovery.  These goals include protecting the health and safety of the AI/AN population that receives health care services through IHS programs and identifying opportunities to increase the effectiveness of IHS's COVID-19 response.  We will review the policies and procedures that IHS had in place during our audit period and evaluate the measures implemented by Tribal Health Programs during Phases 1a and 1b of their vaccination programs—specifically, the measures to distribute, allocate, and administer the COVID-19 vaccines developed by Pfizer-BioNTech and the Moderna—for the period of December 11, 2020, through February 28, 2021.  We will select a sample of Tribal Health Programs to review and will identify best practices as well as challenges that Tribal Health Programs have faced when coordinating the distribution, allocation, and administration of COVID-19 vaccinations.",
Completed,Centers for Medicare & Medicaid Services,Yearend Review of Opioid Use in Medicare Part D in 2020,Office of Evaluation and Inspections,OEI-02-20-00401,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000567.asp,"The opioid crisis remains a public health emergency.  In 2018, there were nearly 47,000 opioid-related overdose deaths in the United States.  Identifying patients who are at-risk of overdose or abuse is key to addressing this crisis.  The COVID-19 pandemic has made this need even more pressing.  The National Institutes of Health recently warned that individuals with opioiduse disorder could be particularly hard hit by COVID-19, which is a respiratory virus that attacks the lungs.  Respiratory disease is known to increase mortality risks among people taking opioids.  This data brief would provide information on opioid utilization among beneficiaries enrolled in Medicare Part D in 2020.  It would build on our series of reports, including the recent data snapshot Opioid Use in Medicare Part D During the Onset of the COVID-19 Pandemic (OEI-02-20-00400), which reviewed opioid use in Part D during the first 8 months of 2020.  It would provide 2020 data on Part D spending for opioids, and the numbers of beneficiaries who received extreme amounts of opioids through Part D as well as those who appeared to be doctor shopping.  It would also identify prescribers who ordered opioids for large numbers of these beneficiaries.",
Revised,OS,Audit of FY 2021 HHS Consolidated Financial Statements,Office of Audit Services,W-00-21-40009,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000568.asp,"The HHS financial statement audit determines whether the financial statements present fairly, in all material respects, the financial position of the audited entity for the specified time period. We will retain an independent external auditor and review the independent auditor's work papers to determine whether financial statement audits of HHS and its components were conducted in accordance with Federal requirements. The financial statement audit is required by Chief Financial Officers Act of 1990, as amended by the Government Management Reform Act of 1994, and performed in accordance with Generally Accepted Government Auditing Standards and Office of Management and Budget (OMB) Bulletin 19-03, ""Audit Requirements for Federal Financial Statements."" The audited consolidated FYs 2021 and 2022 financial statements for HHS are due to OMB by November 15, 2021 and 2022, respectively. We plan to perform a number of ancillary financial-related reviews pertaining to the audits of the FYs 2021 and 2022 financial statements. The purpose of the ancillary financial-related reviews is to fulfill requirements in OMB Bulletin 21-04, §§ 6.1 through 12.",
March 2021,OS,Audit of FY 2021 CMS Financial Statements,Office of Audit Services,W-00-21-40008,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000569.asp,"The CMS financial statement audit determines whether the financial statements present fairly, in all material respects, the financial position of the audited entity for the specified time period (Chief Financial Officers Act of 1990, as amended; Government Management Reform Act of 1994; Federal Financial Management Improvement Act of 1996; Generally Accepted Government Auditing Standards; and Office of Management and Budget Bulletin 19-01, ""Audit Requirements for Federal Financial Statements""). We will retain an independent external auditor and review the independent auditor's work papers to determine whether the financial statement audit of CMS was conducted in accordance with Federal requirements.",
January 22,OS,OIG DATA Act Audit and Data Completeness & Accuracy (2022),Office of Audit Services,W-00-22-41022,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000570.asp,"On May 9, 2014, the President signed the DATA Act of 2014, which mandated the establishment of Government-wide data standards for financial and payment data by May 2015, and agency reporting of consistent, reliable, and searchable financial and payment data by May 2017, to be displayed for taxpayers and policymakers on USASpending.gov. The DATA Act also requires OIG to review a statistically valid sampling of the spending data submitted under this Act by HHS and submit to Congress and make publicly available a report assessing the completeness, timeliness, quality, and accuracy of the data sampled and the implementation and use of data standards by HHS. We will use the independent external auditor contracted to audit the annual CMS and HHS Financial Statement Audits to perform this work.",
April 2021,Centers for Disease Control and Prevention,Use of States' Immunization Information Systems To Monitor COVID-19 Vaccinations,Office of Evaluation and Inspections,OEI-05-22-00010,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000571.asp,"Immunization Information Systems (IISs) play an integral role in monitoring vaccine uptake in the population and meeting vaccination goals.  While the Centers for Disease Control and Prevention (CDC) and other stakeholders have long invested significant efforts to establish plans and standards to guide improvements in IISs, State, and local jurisdictions have often struggled to make these improvements.  CDC's work to collect and share data on COVID-19 vaccinations relies heavily on State and local IISs working with Federal systems, but the preexisting limitations of these systems pose challenges for CDC's goal of comprehensive immunization data being made available for clinical and public health uses.  This study will examine State and Federal experiences using these systems to collect, share, and monitor data on COVID-19 vaccinations, and identify lessons learned that can improve vaccination data and monitoring for future mass vaccination campaigns as well as routine vaccination programs.",
April 2021,Indian Health Service,Audit of Background Verification Process at IHS-Operated Health Facilities,Office of Audit Services,W-00-21-59454,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000572.asp,"The Indian Child Protection and Family Violence Prevention Act (P.L. No. 101-630) requires background checks, including Federal Bureau of Investigation fingerprinting, for individuals whose duties involve contact with children.  Furthermore, Indian Health Service (IHS) appropriated funds may not be used to pay for services provided by individuals excluded from federally funded health care programs.  Prior OIG audit work identified IHS and Tribal health facilities that did not meet Federal requirements for background verifications of employees in contact with children.  We will determine whether IHS-operated health facilities met Federal requirements for background verifications of employees, contractors, and volunteers in contact with Indian children served by the facilities, and whether health care providers treating these children were appropriately licensed.",
Completed,Centers for Medicare & Medicaid Services,Medicare Part B Drug Payments: Impact of Price Substitutions Based on 2019 Average Sales Prices,Office of Evaluation and Inspections,OEI-03-21-00130,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000573.asp,"When Congress established average sales price (ASP) as the basis for Medicare Part B drug reimbursements, it also provided a mechanism for monitoring market prices and limiting potentially excessive Medicare payment amounts.  The Social Security Act mandates that the Office of Inspector General (OIG) compare ASPs with average manufacturer prices (AMPs).  If OIG finds that the ASP for a drug exceeds the AMP by 5 percent in the two previous quarters or in three of the previous four quarters, the Secretary of Health and Human Services may substitute the reimbursement amount with a lower calculated rate.  Over the past decade, OIG has produced annual reports aggregating the results of mandated quarterly ASP to AMP comparisons.  This annual report will quantify the savings to Medicare and its beneficiaries that are a direct result of CMS's price substitution policy based on 2019 ASPs, and may offer recommendations for Medicare to achieve additional savings.",
April 2021,Centers for Medicare & Medicaid Services,Duplicate Medicare Professional Fee Billing by Both the Critical Access Hospital and the Health Care Practitioner to Medicare Part B,Office of Audit Services,W-00-21-35869,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000574.asp,"Under Section 1834(g)(1) of the Social Security Act and Federal regulations (42 CFR §§ 410.152(k) and 413.70(b)), Critical Access Hospitals (CAHs) are paid under the Standard Payment Method unless they elect to be paid under the Optional (Elective) Payment Method.  Under Section 1834(g)(2) of the Social Security Act and Federal regulation (42 CFR § 413.70(b)(3)(i)), a CAH may elect the Optional (Elective) Payment Method, under which it bills the Part B Medicare Administrative Contractor (MAC) for both Medicare Part B facility services and Medicare Part B professional services for its outpatients.  If a physician or other practitioner reassigns his or her Medicare Part B billing rights pursuant to 42 CFR part 424, subpart F, and agrees to be included under a CAH's Optional (Elective) Payment Method, he or she must not bill the MAC for any outpatient professional services furnished at the CAH once the reassignment becomes effective.  The CAH must forward a copy of the completed assignment form (Form CMS 855R) to the MAC and keep the original form on file.  Each practitioner must sign an attestation that clearly states that he or she will not bill Medicare Part B for any services furnished in the CAH outpatient department once the reassignment has been given to the CAH (Medicare Claims Processing Manual, Chapter 4, Section 250.2).  We will determine whether CAHs forwarded a completed Form CMS 855R to the MAC.  We will determine whether both the CAH and physician billed and were paid by the MAC for the same outpatient professional services.  We will determine whether the beneficiary paid coinsurance amounts to both the CAH and physician or other practitioner.  We will also determine whether CMS has an edit in place to ensure that duplicate payments for beneficiary outpatient professional services are not made.	",
April 2021,Centers for Medicare & Medicaid Services,Skilled Nursing Facility Reimbursement,Office of Audit Services,W-00-21-35784,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000575.asp,"A skilled nursing facility (SNF) is a nursing home that provides skilled nursing care and rehabilitation services such as physical, speech, and occupational therapy to beneficiaries who need assistance after hospitalization. In October 2019, the Centers for Medicare &amp; Medicaid Services (CMS) implemented a new payment system for determining Medicare Part A payments to SNFs. Specifically, CMS implemented the Patient Driven Payment Model (PDPM), a new case-mix classification system for classifying SNF patients in a Medicare Part A covered stay into payments groups under the SNF Prospective Payment System. Under PDPM, payment is determined by factoring in a combination of six payment components. Five of the components are case-mix adjusted and include a physical therapy component, an occupational therapy component, a speech-language pathology component, a nontherapy ancillary services component, and a nursing component. Additionally, there is a non-case-mix adjusted component to cover utilization of SNF resources that do not vary according to patient characteristics. We will determine whether Medicare payments to SNFs under PDPM complied with Medicare requirements.",
Revised,Health Resources and Services Administration,Audit of Health Resources and Services Administration's COVID-19 Supplemental Grant Funding for Health Centers,Office of Audit Services,W-00-21-59456,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000576.asp,"The Health Resources and Services Administration (HRSA) awarded nearly $2 billion in supplemental grant funding to 1,387 health centers nationwide in fiscal year (FY) 2020 to respond to the COVID-19 public health emergency. The funding was intended to support the health centers' activities related to the detection, prevention, diagnosis, and treatment of COVID-19, including maintaining or increasing health center capacity and staffing levels during the pandemic, and expanding COVID-19 testing. The performance period for each of these one-time supplemental grant awards, which HRSA began awarding in March 2020, is 12 months. Health centers were permitted to charge to their awards pre-award costs in order to support expenses related to the COVID-19 public health emergency dating back to January 20, 2020. We will determine whether health centers used their HRSA COVID-19 supplemental grant funding in accordance with Federal requirements and grant terms.",
Revised,Centers for Medicare & Medicaid Services,Dermatologist Claims for Evaluation and Management Services on the Same Day as Minor Surgical Procedures,Office of Audit Services,W-00-21-35868,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000577.asp,"Medicare covers an Evaluation and Management (E/M) service when the service is reasonable and necessary for the diagnosis or treatment of illness or injury, or to improve the functioning of a malformed body member.  Generally, Medicare payments for global surgery procedures include payments for necessary preoperative and postoperative services related to surgery when furnished by a surgeon.  Medicare global surgery rules define the rules for reporting E/M services with minor surgery and other procedures covered by these rules.  In general, E/M services provided on the same day of service as a minor surgical procedure are included in the payment for the procedure.  The decision to perform a minor surgical procedure is included in the payment for a minor surgical procedure and must not be reported separately as an E/M service.  An E/M service should be billed only on the same day if a surgeon performs a significant and separately identifiable E/M service that is unrelated to the decision to perform a minor surgical procedure.  In this instance, the provider should append a modifier 25 to the appropriate E/M code.  In 2019, about 56 percent of dermatologists' claims with an E/M service also included minor surgical procedures (such as lesion removals, destructions, and biopsies) on the same day.  This may indicate abuse whereby the provider used modifier 25 to bill Medicare for a significant and separately identifiable E/M service when only a minor surgical procedure and related preoperative and postoperative services are supported by the beneficiary's medical record.  We will determine whether dermatologists' claims for E/M services on the same day of service as a minor surgical procedure complied with Medicare requirements.",
Completed,Office of Evaluation and Inspections,Toolkit: Insights from OIG's Work on the Office of Refugee Resettlement's Efforts to Care for Unaccompanied Children,Office of Evaluation and Inspections,OEI-09-21-00220,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000578.asp,"The Office of Refugee Resettlement (ORR), a program office of the Administration for Children and Families, has custody of and must provide care for children in the Unaccompanied Children (UC) Program.  The number of unaccompanied children apprehended at the border has surged many times in recent years, resulting in large numbers of children in ORR custody.  ORR provides grants to facilities that provide care to children in the UC Program until suitable sponsors in the United States can assume custody. OIG has a body of work that encompasses many aspects of the challenges faced by ORR in managing the UC Program.  For example, this body of work has focused on ORR and grantee efforts to address children's mental health needs, reunite children separated from their parents, conduct background screenings of facility employees, maintain physical security at grantee facilities, and document safety incidents.  This toolkit will synthesize findings and recommendations from past OIG work and provide key insights on ORR's administration and oversight of the UC program.",
April 2021,Centers for Medicare & Medicaid Services,How Part D Plans' Preference for Higher Cost Hepatitis C Drugs Affects Medicare Beneficiaries,Office of Evaluation and Inspections,OEI-BL-21-00200,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000579.asp,"In 2019, Medicare Part D spent approximately $2.5 billion for hepatitis C drugs to treat 50,000 beneficiaries with the disease.  Three drugs—Harvoni, Epclusa, and Mavyret—accounted for 93 percent of expenditures, with annual Medicare costs ranging from $28,000 to $77,000 per beneficiary.  A portion of these totals was shared by Medicare beneficiaries who faced thousands of dollars in out-of-pocket costs for hepatitis C drugs under Part D.  In early 2019, Gilead—the manufacturer of Harvoni and Epclusa—launched authorized generic versions of both drugs with the expressed goal of reducing patients' outofpocket costs.  The retail price of authorized generic versions is $24,000, which is significantly less than the prices of Harvoni and Epclusa, and even less than Mavyret.  These lower list prices should in turn lead to lower out-of-pocket costs, as authorized generics are as effective as branded versions but sell for only a fraction of the cost.  However, a preliminary analysis indicates that Medicare utilization has not shifted from brandname versions of Harvoni and Epclusa to their significantly cheaper, authorized generic versions or to Mavyret.  This study will examine the utilization of hepatitis C drugs under Part D and the financial impact on Medicare Part D and beneficiaries.",
April 2021,National Institutes of Health,NIH Oversight of Foreign Grant Recipients' Compliance With Audit Requirements,Office of Audit Services,W-00-21-59457,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000580.asp,"The National Institutes of Health (NIH) is the primary Federal agency for conducting and supporting medical research.  To realize its mission of extending healthy lifespans and reducing the burdens of illness and disability, NIH funds grants, cooperative agreements, and contracts that support the advancement of fundamental knowledge about the nature and behavior of living systems.  The 27 Institutes and Centers of NIH provide leadership and financial support to researchers both inside and outside the United States.  Approximately 80 percent of NIH funding goes to support research grants, including grants to foreign organizations.  Foreign grant recipients that spend $750,000 or more in HHS funds within one year are subject to certain audit requirements intended to provide assurance to the Federal Government that the recipient has in place adequate internal controls and is generally in compliance with program requirements.  We will review NIH funding to foreign grant recipients to determine whether: (1) NIH foreign grant recipients submit required audit reports and (2) NIH appropriately maintains and uses the audit reports.",
May 2021,National Institutes of Health,NIH Oversight of Foreign Grant Recipients' Compliance With Audit Requirements,Office of Audit Services,W-00-21-59457,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000581.asp,"The National Institutes of Health (NIH) is the primary Federal agency for conducting and supporting medical research.  To realize its mission of extending healthy lifespans and reducing the burdens of illness and disability, NIH funds grants, cooperative agreements, and contracts that support the advancement of fundamental knowledge about the nature and behavior of living systems.  The 27 Institutes and Centers of NIH provide leadership and financial support to researchers both inside and outside the United States.  Approximately 80 percent of NIH funding goes to support research grants, including grants to foreign organizations.  Foreign grant recipients that spend $750,000 or more in HHS funds within one year are subject to certain audit requirements intended to provide assurance to the Federal Government that the recipient has in place adequate internal controls and is generally in compliance with program requirements.  We will review NIH funding to foreign grant recipients to determine whether: (1) NIH foreign grant recipients submit required audit reports and (2) NIH appropriately maintains and uses the audit reports.",
May 2021,Centers for Medicare and Medicaid Services,Medicare-Related Capital Costs Reported by New Hospitals,Office of Audit Services,W-00-21-35870,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000582.asp,"Hospitals are paid through Medicare Part A for Medicare-related capital costs (such as depreciation, interest, rent, and property-related insurance and tax costs).  Most hospitals receive payment for capital costs through the Medicare Inpatient Prospective Payment System (IPPS) whereby a portion of their payment for each patient discharge is intended to cover capital costs.  New hospitals can be exempted from the IPPS and be paid on a cost basis for their first 2 years of operation.  We will determine whether new hospitals claimed Medicare-related capital costs in accordance with Federal regulations.",
Completed (partial),Centers for Medicare and Medicaid Services,Audits of Medicare Payments for Spinal Pain Management Services,Office of Audit Services,W-00-21-35825; W-00-22-35825;A-09-21-03002,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000583.asp,"Medicare Part B covers various spinal pain management services including facet joint injections, facet joint denervation sessions, lumbar epidural injections, and trigger point injections.  Medicare Part B also covers sedation administered during these pain management services.  We will audit whether Medicare payments for spinal pain management services billed by physicians complied with Federal requirements.",
Revised,Centers for Medicare and Medicaid Services,Meeting the Challenges Presented by COVID-19: Nursing Homes,Office of Evaluation and Inspections,OEI-02-20-00490; OEI-02-20-00490;  OEI-02-20-00492,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000584.asp,"Nursing homes have been at the epicenter of the COVID-19 pandemic. Residents in these homes have been particularly affected by the disease, as they are predominantly elderly individuals who have underlying medical conditions and live in close quarters. To prevent and mitigate future outbreaks, it is important that we understand how nursing homes experienced the COVID-19 pandemic. This nationwide, three-part study will examine how the pandemic affected nursing homes. The first part will analyze the extent to which Medicare beneficiaries residing in nursing homes were diagnosed with COVID-19 and describe the characteristics of those who were at greater risk. The second part will describe the characteristics of the nursing homes that were hardest hit by the pandemic (i.e., homes with high numbers of beneficiaries who had COVID-19). The third part will describe the strategies nursing homes used to mitigate the unprecedented challenges of COVID-19. These challenges include procuring critical supplies, testing residents and staff, isolating high numbers of contagious residents, caring for those afflicted, and protecting residents and staff on a scale never before experienced in this country.",
May 2021,Centers for Medicare and Medicaid Services,Impact of Expanding the Hospital Transfer Payment Policy for Early Discharges to Postacute Care,Office of Audit Services,W-00-21-35871,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000585.asp,"We will determine how the hospital transfer policy for early discharges to postacute care (PAC) would financially affect Medicare and hospitals if it were expanded to include all Medicare Severity Diagnosis-Related Groups (MS-DRGs).  The transfer payment policy for discharges from hospitals to PAC facilities, such as a skilled nursing facility, applies to certain specified MS-DRGs.  Analysis of Medicare claims data demonstrates significant occurrences of early discharges from hospitals to PAC facilities for MS-DRGs that are not currently subject to the PAC transfer payment policy.  Medicare pays a full prospective payment system (PPS) rate to hospitals for these early discharges.  In contrast, Medicare pays hospitals a reduced payment for shorter lengths of stay for certain MS-DRGs when beneficiaries are transferred to PAC settings (42 CFR § 412.4(f)).  Our proposed audit would provide CMS with a more updated analysis of the financial impact that an expanded hospital-to-PAC transfer payment policy (i.e., all MS-DRGs) would have on Medicare and hospitals.   	",
Revised,Administration for Children and Families,Impact of the COVID-19 Pandemic on State Child Support Enforcement Programs,Office of Evaluation and Inspections,OEI-06-21-00150,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000586.asp,"The Office of Child Support Enforcement (OCSE) within the Administration for Children and Families funds and oversees State child support enforcement (CSE) agencies, which establish child support orders and collect support.  CSE agencies have faced challenges in maintaining their operations and providing essential services during the COVID-19 pandemic.  Such challenges include limited access to State courts for child support hearings.  Nationally, child support programs are an important source of funds for families, and high unemployment resulting from the COVID-19 pandemic makes these services even more critical.  Using a survey of State CSE agencies, interviews, and document reviews, our study will assess the impact of the COVID-19 pandemic on State CSE operations.  In addition, we will evaluate the support and oversight of States by the Federal OCSE.  We will also identify strategies and promising approaches used by State CSE agencies in managing these critical services during a national emergency.",
Revised,Health Resources and Services Administration,"Audit of CARES Act Provider Relief Funds—Payments to Health Care Providers That Applied for General Distribution Under Phases 1, 2, and 3",Office of Audit Services,W-00-21-35873; W-00-22-35873,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000587.asp,"The Provider Relief Fund (PRF), a $178 billion program, provides relief funds to hospitals and other health care providers for health-care-related expenses or lost revenue attributable to COVID-19 and to ensure that uninsured Americans can get testing and treatment for COVID-19.  For the General Distribution of the PRF, HHS allocated funds in three phases: $50 billion during Phase 1 for Medicare providers; $18 billion during Phase 2 for Medicaid and Children's Health Insurance Program providers, dental providers, certain Medicare providers, and assisted living facilities; and $24 billion during Phase 3 for certain behavioral health providers and newly practicing providers, as well as providers that received a payment under a previous phase., Providers applying for General Distribution funds must meet certain requirements, such as submitting revenue information and supporting documentation to the Health Resources and Services Administration, which uses this information to determine eligibility and payments.  We will perform a series of audits of funds related to the three phases of the General Distribution to determine whether payments were: (1) correctly calculated for providers that applied for these payments, (2) supported by appropriate and reasonable documentation, and (3) made to eligible providers.",
May 2021,"HHS, OCR, CMS","Audit of the Effectiveness of HHS's Governance To Ensure Hospitals Implement Measures To Prevent, Detect, and Recover From Cyberattacks",Office of Audit Services,W-00-21-42035,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000588.asp,"Ransomware, destructive malware, insider threats, and even honest mistakes present an ongoing threat to U.S. hospital operations and the security of electronic protected health information (ePHI). The more quickly and effectively hospitals detect and respond to attacks that may affect the availability and integrity of their data, the more likely they may avoid service disruptions that could potentially affect patient data or lives and save time and money that would be required to recover from such attacks. In recent years, multiple hospitals have fallen prey to significant cyberattacks, including ransomware attacks during the COVID-19 pandemic that have impacted hospital operations and patient care. In October 2020, the Cybersecurity and Infrastructure Security Agency, Federal Bureau of Investigation, and Department of Health and Human Services (HHS)issued a joint cybersecurity advisory regarding ransomware activity targeting the health care and public health sector.  The advisory stated that threat actors have continued to develop new functionality and tools, thereby increasing the ease, speed, and profitability of ransomware attacks. HHS-OIG will audit HHS's governance over its programs to determine whether HHS's Office of Civil Rights (OCR) has performed periodic audits of hospitals to assess compliance with Health Insurance Portability and Accountability Act(HIPAA) Security, Privacy, and Breach Notification rules and determine whether these audits effectively assessed ePHI protections. In addition, we will determine whether CMS's certification process for participation in the Medicare program requires hospitals participating in the Medicare program to implement minimum security safeguards to prevent and detect cyberattacks, ensure continuity of patient care, and protect beneficiary data. We will also conduct security assessments at 10 U.S. hospitals to determine whether they have adequately implemented HIPAA security requirements or effective cybersecurity measures to prevent, detect, and recover from cyberattacks.",
Revised,Administration for Children and Families,Safe and Efficient Release of Unaccompanied Children to Sponsors,Office of Evaluation and Inspections,OEI-07-21-00250,2023,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000589.asp,"The Office of Refugee Resettlement (ORR), a program office of HHS's Administration for Children and Families, experienced a surge of unaccompanied children in spring 2021.  As a result of this surge, ORR experienced difficulties in increasing its capacity to care for unaccompanied children; ORR-funded facilities also faced challenges in recruiting and retaining staff.  The need to release unaccompanied children to fully vetted sponsors during a surge may have created vulnerabilities that could have put the children's safety at risk.  To address this concern, we will conduct an evaluation of the implementation and efficiency of ORR's sponsor screening and followup processes at facilities during this surge, including the newly established intake and influx centers.  This evaluation will determine to what extent: (1) proper steps were taken to safely release unaccompanied children to sponsors and (2) these processes were completed in an efficient manner.",
